Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,ATTACK
11:35:45.539,0.0512,0.3,0.171,1.12,0.761,1.9,0.576,0.441,0.00248,0.00617,0
10:14:49.444,0.0558,1.16,0.0483,0.801,1.29,4.19,0.692,0.542,0.00137,0.00446,0
10:16:52.193,0.106,1.29,0.082,0.873,8.28,11.7,0.292,0.413,0.00463,0.00654,0
11:57:50.316,0.0566,0.587,0.0964,0.883,9.69,11.5,0.161,0.269,0.00508,0.00605,1
11:53:59.094,0.000405,0.492,0.000824,0.571,0.00566,0.0811,0.93,0.509,0.000415,0.00594,0
11:58:25.347,0.0865,1.32,0.0657,0.734,8.37,14.1,0.407,0.434,0.00287,0.00484,0
12:20:26.276,0.0828,0.717,0.115,1.12,0.371,2.06,0.814,0.643,0.000706,0.00391,0
10:35:57.289,0.0901,0.701,0.129,1.03,5.3,9.11,0.418,0.416,0.00349,0.006,1
10:24:29.300,0.0913,0.654,0.14,1.06,9.7,11.7,0.17,0.265,0.0063,0.0076,1
10:36:49.986,0.09,0.665,0.135,1.07,7.39,10.6,0.302,0.364,0.00487,0.00697,1
10:25:04.912,0.0857,0.659,0.13,0.996,11.1,12.9,0.142,0.258,0.00765,0.00892,1
11:55:18.166,0.000281,0.462,0.000609,0.571,0.000939,0.0524,0.982,0.417,0.0000991,0.00554,0
12:21:08.424,0.4,0.535,0.748,1.11,3.13,5.05,0.377,0.354,0.0013,0.0021,1
11:36:04.561,0.103,0.16,0.641,1.13,2.95,3.85,0.228,0.268,0.00479,0.00626,1
10:35:38.255,0.0635,0.592,0.107,1.04,3.14,6.04,0.479,0.408,0.00293,0.00563,1
10:15:48.068,0.125,1.39,0.0897,0.824,3.34,6.67,0.499,0.524,0.00159,0.00318,0
10:35:29.240,0.047,0.494,0.095,1.05,2.36,4.48,0.473,0.364,0.00298,0.00566,1
10:15:34.038,0.135,0.978,0.138,0.862,7.54,14.7,0.486,0.423,0.00332,0.00645,0
11:34:59.477,0.0614,0.311,0.197,1.04,0.812,2.29,0.629,0.423,0.0022,0.00622,0
10:24:48.337,0.114,0.723,0.157,1,14.4,16.7,0.139,0.246,0.00751,0.00872,1
11:58:22.345,0.0536,1.54,0.0349,0.599,6.63,8.85,0.251,0.346,0.00367,0.0049,0
10:36:35.430,0.0436,0.47,0.0927,1.02,3.13,4.05,0.227,0.361,0.00426,0.00551,1
10:36:02.297,0.0535,0.538,0.0996,1.02,3.26,5.04,0.353,0.417,0.00361,0.00558,1
11:33:35.044,0.00097,0.208,0.00467,0.713,0.0285,0.0595,0.494,0.355,0.00489,0.0102,0
10:36:16.323,0.205,0.867,0.236,0.962,10.8,16.4,0.345,0.484,0.00312,0.00476,1
11:56:44.246,0.0314,1.76,0.0178,0.578,3.65,4.88,0.252,0.354,0.00345,0.00462,0
11:35:56.553,0.0559,0.313,0.178,1.09,0.777,1.85,0.559,0.452,0.00232,0.00552,0
10:25:33.478,0.104,0.682,0.153,0.992,15,17.3,0.132,0.248,0.00851,0.00981,1
11:35:00.478,0.134,0.317,0.421,1.03,1.67,4.42,0.605,0.463,0.00208,0.00551,0
10:36:23.392,0.0916,0.591,0.155,0.967,3.25,7.53,0.568,0.457,0.00205,0.00473,1
10:15:07.483,0.0238,1.09,0.0218,0.765,1.14,2.35,0.515,0.417,0.00284,0.00586,0
12:20:06.640,0.000148,0.154,0.000965,0.445,0.00578,0.00967,0.369,0.396,0.0065,0.0109,0
11:54:51.140,0.000344,0.478,0.000721,0.578,0.00546,0.0637,0.914,0.413,0.000471,0.00549,0
10:17:09.232,0.102,1.13,0.0904,0.95,10.8,14.4,0.255,0.36,0.00623,0.00836,0
11:55:03.151,0.000279,0.454,0.000614,0.571,0.000537,0.0526,0.99,0.414,0.0000571,0.00559,0
